User;nRatings;LearningMethod;lambda;nfeatures;fold;Linear AccuracyError;Linear MAE;Linear RMSE;Linear Spearman;Gaussian AccuracyError;Gaussian MAE;Gaussian RMSE;Gaussian Spearman;Polynomial AccuracyError;Polynomial MAE;Polynomial RMSE;Polynomial Spearman;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;SOFTMARGIN_BATCH;1;4789;8;0,6;1,2;1,673320053;0,3;0,8;2;2,449489743;-0,5;0,8;2;2,449489743;-0,5;;;;;;
http://soa4all,isoco,net/luf/users/movies363;54;SOFTMARGIN_BATCH;1;4789;9;1;2,2;2,48997992;-0,55;0,8;1,4;1,732050808;0,25;0,6;1;1,341640786;0,55;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;SIMPLE_ONLINE;1;4789;0;1;1,5;1,732050808;-0,2;1;1,5;1,732050808;-0,2;1;1,5;1,732050808;-0,2;1,783333333;2,048059976;1,75;2,04095247;1,75;2,04095247
http://soa4all,isoco,net/luf/users/movies878;31;SIMPLE_ONLINE;1;4789;1;1;2;2,160246899;-2,5;1;2;2,160246899;-2,5;1;2;2,160246899;-2,5;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;SIMPLE_ONLINE;1;4789;2;1;2;2,449489743;-3,5;1;2;2,449489743;-3,5;1;2;2,449489743;-3,5;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;SIMPLE_ONLINE;1;4789;3;1;2;2,160246899;-2,5;1;2;2,160246899;-2,5;1;2;2,160246899;-2,5;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;SIMPLE_ONLINE;1;4789;4;1;2,666666667;2,943920289;-5,5;1;2,666666667;2,943920289;-5,5;1;2,666666667;2,943920289;-5,5;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;SIMPLE_ONLINE;1;4789;5;1;1,333333333;1,414213562;-0,5;1;1,333333333;1,414213562;-0,5;1;1,333333333;1,414213562;-0,5;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;SIMPLE_ONLINE;1;4789;6;1;1,333333333;1,414213562;-0,5;1;1,333333333;1,414213562;-0,5;1;1,333333333;1,414213562;-0,5;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;SIMPLE_ONLINE;1;4789;7;1;2;2;-2;1;2;2;-2;1;2;2;-2;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;SIMPLE_ONLINE;1;4789;8;0,666666667;1,333333333;1,825741858;-1,5;0,666666667;1,333333333;1,825741858;-1,5;0,666666667;1,333333333;1,825741858;-1,5;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;SIMPLE_ONLINE;1;4789;9;0,666666667;1,666666667;2,380476143;-3,25;0,333333333;1,333333333;2,309401077;-3;0,333333333;1,333333333;2,309401077;-3;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;ONEVSALL_BATCH;1;4789;0;0,75;1,5;1,732050808;-0,2;0,75;1;1,224744871;0,4;0,75;1,5;1,732050808;-0,2;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;ONEVSALL_BATCH;1;4789;1;0,666666667;1;1,290994449;-0,25;0,666666667;1;1,290994449;-0,25;0,666666667;1;1,290994449;-0,25;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;ONEVSALL_BATCH;1;4789;2;1;1,666666667;1,732050808;-1,25;0,666666667;0,666666667;0,816496581;0,5;1;1,666666667;1,732050808;-1,25;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;ONEVSALL_BATCH;1;4789;3;1;1,666666667;1,914854216;-1,75;0;0;0;1;1;1,666666667;1,914854216;-1,75;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;ONEVSALL_BATCH;1;4789;4;0,666666667;1,333333333;1,825741858;-1,5;0,666666667;1,666666667;2,081665999;-2,25;0,666666667;1,333333333;1,825741858;-1,5;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;ONEVSALL_BATCH;1;4789;5;1;1,666666667;1,732050808;-1,25;0,666666667;1;1,290994449;-0,25;1;1,666666667;1,732050808;-1,25;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;ONEVSALL_BATCH;1;4789;6;1;1,666666667;1,732050808;-1,25;1;1,666666667;1,732050808;-1,25;1;1,666666667;1,732050808;-1,25;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;ONEVSALL_BATCH;1;4789;7;1;1;1;0,25;0,333333333;0,333333333;0,577350269;0,75;1;1;1;0,25;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;ONEVSALL_BATCH;1;4789;8;0,666666667;1,666666667;2,081665999;-2,25;0,666666667;1;1,290994449;-0,25;0,666666667;1,666666667;2,081665999;-2,25;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;ONEVSALL_BATCH;1;4789;9;1;2,333333333;2,645751311;-4,25;1;3;3,109126351;-6,25;1;2,333333333;2,645751311;-4,25;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;SOFTMARGIN_BATCH;1;4789;0;0,75;2,25;2,598076211;-1,7;1;1,5;1,732050808;-0,2;1;2,5;2,645751311;-1,8;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;SOFTMARGIN_BATCH;1;4789;1;1;1,666666667;1,732050808;-1,25;1;2;2,160246899;-2,5;1;1,666666667;1,732050808;-1,25;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;SOFTMARGIN_BATCH;1;4789;2;0,666666667;2;2,449489743;-3,5;0,666666667;2;2,449489743;-3,5;0,666666667;2;2,449489743;-3,5;;;;;;
http://soa4all,isoco,net/luf/users/movies878;31;SOFTMARGIN_BATCH;1;4789;3;1;2;2,160246899;-2,5;1;2;2,160246899;-2,5;1;2;2,160246899;-2,5;;;;;;
