utente;lambda;nfeatures;fold;Linear MAE;Gaussian MAE;Polynomial MAE;Linear RMSE;Gaussian RMSE;Polynomial RMSE;Linear Spearman;Gaussian Spearman;Polynomial Spearman
http://soa4all.isoco.net/luf/users/movies13;1.0;2;7;1.0;1.0;1.2727272727272727;1.243163121016122;1.243163121016122;1.5374122295716148;0.9227272727272727;0.9227272727272727;0.8818181818181818
http://soa4all.isoco.net/luf/users/movies13;1.0;2;8;1.3636363636363635;1.4545454545454546;1.0;1.5075567228888183;1.5954480704349312;1.5075567228888183;0.8863636363636364;0.8727272727272728;0.8863636363636364
http://soa4all.isoco.net/luf/users/movies13;1.0;2;9;1.4545454545454546;1.8181818181818181;1.4545454545454546;2.0;2.256304299271065;2.0;0.8;0.7454545454545455;0.8
http://soa4all.isoco.net/luf/users/movies13;1.0;3;0;1.5;1.5;2.0833333333333335;1.7320508075688772;1.7320508075688772;2.254624876411447;0.8741258741258742;0.8741258741258742;0.7867132867132867
http://soa4all.isoco.net/luf/users/movies13;1.0;3;1;1.0833333333333333;0.9166666666666666;0.9166666666666666;1.3844373104863459;1.1902380714238083;1.3228756555322954;0.9195804195804196;0.9405594405594405;0.9265734265734266
http://soa4all.isoco.net/luf/users/movies13;1.0;3;2;1.25;1.25;1.25;1.5;1.5;1.5;0.9055944055944056;0.9055944055944056;0.9055944055944056
http://soa4all.isoco.net/luf/users/movies13;1.0;3;3;1.0833333333333333;1.4166666666666667;1.5;1.4433756729740645;1.6583123951777;1.7320508075688772;0.9125874125874126;0.8846153846153846;0.8741258741258742
http://soa4all.isoco.net/luf/users/movies13;1.0;3;4;1.5454545454545454;1.0;2.272727272727273;1.9771421064483223;1.5666989036012806;2.6111648393354674;0.8045454545454546;0.8772727272727273;0.6590909090909092
http://soa4all.isoco.net/luf/users/movies13;1.0;3;5;1.4545454545454546;1.1818181818181819;2.090909090909091;1.7580981459830651;1.381698559415515;2.5045413298101655;0.8454545454545455;0.9045454545454545;0.6863636363636363
http://soa4all.isoco.net/luf/users/movies13;1.0;3;6;1.0909090909090908;1.0;1.6363636363636365;1.348399724926484;1.243163121016122;2.088931871468374;0.9090909090909091;0.9227272727272727;0.7818181818181819
http://soa4all.isoco.net/luf/users/movies13;1.0;3;7;0.8181818181818182;1.0;0.9090909090909091;1.087114613009218;1.243163121016122;1.2060453783110545;0.9409090909090909;0.9227272727272727;0.9272727272727272
http://soa4all.isoco.net/luf/users/movies13;1.0;3;8;0.9090909090909091;1.8181818181818181;1.0;1.4770978917519928;2.0;1.5075567228888183;0.8909090909090909;0.8;0.8863636363636364
http://soa4all.isoco.net/luf/users/movies13;1.0;3;9;1.1818181818181819;1.8181818181818181;1.4545454545454546;1.5666989036012806;2.256304299271065;2.0;0.8772727272727273;0.7454545454545455;0.8
http://soa4all.isoco.net/luf/users/movies13;1.0;4;0;1.5;1.5;1.75;1.7320508075688772;1.7320508075688772;2.0615528128088303;0.8741258741258742;0.8741258741258742;0.8216783216783217
http://soa4all.isoco.net/luf/users/movies13;1.0;4;1;1.0;0.9166666666666666;1.5;1.1547005383792515;1.1902380714238083;1.7795130420052185;0.9440559440559441;0.9405594405594405;0.8671328671328671
http://soa4all.isoco.net/luf/users/movies13;1.0;4;2;1.3333333333333333;1.0833333333333333;1.3333333333333333;1.7320508075688772;1.3844373104863459;1.7320508075688772;0.8741258741258742;0.9195804195804196;0.8741258741258742
http://soa4all.isoco.net/luf/users/movies13;1.0;4;3;1.5;1.1666666666666667;1.5;1.7320508075688772;1.4719601443879744;1.7320508075688772;0.8741258741258742;0.9090909090909091;0.8741258741258742
http://soa4all.isoco.net/luf/users/movies13;1.0;4;4;1.5454545454545454;0.9090909090909091;2.3636363636363638;1.9771421064483223;1.4142135623730951;2.593698657761292;0.8045454545454546;0.9;0.6636363636363636
http://soa4all.isoco.net/luf/users/movies13;1.0;4;5;1.5454545454545454;1.1818181818181819;1.9090909090909092;1.7837651700316894;1.5666989036012806;2.354878881270658;0.8409090909090909;0.8772727272727273;0.7227272727272727
http://soa4all.isoco.net/luf/users/movies13;1.0;4;6;1.0;1.0909090909090908;1.2727272727272727;1.243163121016122;1.348399724926484;1.7056057308448835;0.9227272727272727;0.9090909090909091;0.8545454545454545
http://soa4all.isoco.net/luf/users/movies13;1.0;4;7;1.0;1.0;1.1818181818181819;1.243163121016122;1.243163121016122;1.6236882817719773;0.9227272727272727;0.9227272727272727;0.8681818181818182
http://soa4all.isoco.net/luf/users/movies13;1.0;4;8;1.6363636363636365;2.272727272727273;0.7272727272727273;1.9069251784911847;2.4308621740219887;1.1281521496355325;0.8181818181818181;0.7045454545454546;0.9363636363636364
http://soa4all.isoco.net/luf/users/movies13;1.0;4;9;1.1818181818181819;1.8181818181818181;1.6363636363636365;1.5666989036012806;2.256304299271065;2.088931871468374;0.8772727272727273;0.7454545454545455;0.7818181818181819
http://soa4all.isoco.net/luf/users/movies13;1.0;5;0;1.5;1.4166666666666667;2.3333333333333335;1.7320508075688772;1.6072751268321592;2.7386127875258306;0.8741258741258742;0.8916083916083917;0.6853146853146853
http://soa4all.isoco.net/luf/users/movies13;1.0;5;1;0.8333333333333334;0.8333333333333334;1.0;1.0801234497346435;1.1547005383792515;1.1547005383792515;0.951048951048951;0.9440559440559441;0.9440559440559441
http://soa4all.isoco.net/luf/users/movies13;1.0;5;2;1.0833333333333333;1.0833333333333333;2.0833333333333335;1.3844373104863459;1.3844373104863459;2.5;0.9195804195804196;0.9195804195804196;0.7377622377622377
http://soa4all.isoco.net/luf/users/movies13;1.0;5;3;1.0833333333333333;1.4166666666666667;1.5833333333333333;1.4433756729740645;1.6583123951777;1.7559422921421233;0.9125874125874126;0.8846153846153846;0.8706293706293706
http://soa4all.isoco.net/luf/users/movies13;1.0;5;4;1.0909090909090908;0.8181818181818182;2.4545454545454546;1.7056057308448835;1.3142574813455419;2.6798914496333954;0.8545454545454545;0.9136363636363636;0.6409090909090909
http://soa4all.isoco.net/luf/users/movies13;1.0;5;5;1.5454545454545454;1.1818181818181819;1.6363636363636365;1.7837651700316894;1.5666989036012806;2.174229226018436;0.8409090909090909;0.8772727272727273;0.7636363636363637
http://soa4all.isoco.net/luf/users/movies13;1.0;5;6;1.0909090909090908;1.0909090909090908;1.6363636363636365;1.348399724926484;1.348399724926484;2.088931871468374;0.9090909090909091;0.9090909090909091;0.7818181818181819
http://soa4all.isoco.net/luf/users/movies13;1.0;5;7;0.8181818181818182;1.0;1.0;1.087114613009218;1.243163121016122;1.3142574813455419;0.9409090909090909;0.9227272727272727;0.9136363636363636
http://soa4all.isoco.net/luf/users/movies13;1.0;5;8;1.5454545454545454;2.5454545454545454;0.7272727272727273;1.834021909257456;2.6285149626910838;1.1281521496355325;0.8318181818181818;0.6545454545454545;0.9363636363636364
http://soa4all.isoco.net/luf/users/movies13;1.0;5;9;1.4545454545454546;1.8181818181818181;1.8181818181818181;2.0;2.256304299271065;2.256304299271065;0.8;0.7454545454545455;0.7454545454545455
