utente;rating Utente;KERNEL_MODE;lambda;nfeatures;fold;Linear MAE;Linear RMSE;Linear Spearman;Gaussian MAE;Gaussian RMSE;Gaussian Spearman;Polynomial MAE;Polynomial RMSE;Polynomial Spearman
http://soa4all.isoco.net/luf/users/movies363;54;ONEVSALL_BATCH;1.0;-1;0;2.147483644E9;2.147483644E9;-7.9057474307100326E17;1.5;1.6832508230603465;0.5142857142857142;2.0;2.160246899469287;0.19999999999999996
http://soa4all.isoco.net/luf/users/movies363;54;ONEVSALL_BATCH;1.0;-1;1;2.1474836441666667E9;2.1474836441666665E9;-7.9057474319371661E17;1.3333333333333333;1.632993161855452;0.5428571428571429;1.6666666666666667;2.0;0.3142857142857143
http://soa4all.isoco.net/luf/users/movies363;54;ONEVSALL_BATCH;1.0;-1;2;2.1474836431666667E9;2.1474836431666665E9;-7.9057474245743642E17;2.1666666666666665;2.41522945769824;0.0;2.8333333333333335;2.857738033247041;-0.3999999999999999
http://soa4all.isoco.net/luf/users/movies363;54;ONEVSALL_BATCH;1.0;-1;3;2.1474836441666667E9;2.1474836441666665E9;-7.9057474319371661E17;1.8333333333333333;2.1984843263788196;0.17142857142857137;2.0;2.3804761428476167;0.02857142857142858
http://soa4all.isoco.net/luf/users/movies363;54;ONEVSALL_BATCH;1.0;-1;4;2.1474836434E9;2.1474836433999999E9;-1.15292149966763456E18;1.0;1.4832396974191326;0.44999999999999996;2.2;2.6457513110645907;-0.75
http://soa4all.isoco.net/luf/users/movies363;54;ONEVSALL_BATCH;1.0;-1;5;2.1474836438E9;2.1474836438E9;-1.15292150009713126E18;1.8;2.1447610589527217;-0.1499999999999999;2.0;2.6076809620810595;-0.7
http://soa4all.isoco.net/luf/users/movies363;54;ONEVSALL_BATCH;1.0;-1;6;2.147483644E9;2.147483644E9;-1.15292150031187968E18;1.6;2.0976176963403033;-0.10000000000000009;1.6;2.1908902300206643;-0.19999999999999996
http://soa4all.isoco.net/luf/users/movies363;54;ONEVSALL_BATCH;1.0;-1;7;2.147483645E9;2.147483645E9;-1.1529215013856215E18;0.4;0.6324555320336759;0.9;0.8;1.0954451150103321;0.7
http://soa4all.isoco.net/luf/users/movies363;54;ONEVSALL_BATCH;1.0;-1;8;2.147483644E9;2.147483644E9;-1.15292150031187968E18;0.6;1.0;0.75;1.6;2.0976176963403033;-0.10000000000000009
http://soa4all.isoco.net/luf/users/movies363;54;ONEVSALL_BATCH;1.0;-1;9;2.1474836446E9;2.1474836446E9;-1.1529215009561248E18;2.0;2.280350850198276;-0.30000000000000004;1.4;1.7320508075688772;0.25
http://soa4all.isoco.net/luf/users/movies363;54;SOFTMARGIN_BATCH;1.0;-1;0;2.147483644E9;2.147483644E9;-7.9057474307100326E17;2.0;2.160246899469287;0.19999999999999996;2.6666666666666665;2.70801280154532;-0.2571428571428571
http://soa4all.isoco.net/luf/users/movies363;54;SOFTMARGIN_BATCH;1.0;-1;1;2.1474836441666667E9;2.1474836441666665E9;-7.9057474319371661E17;1.8333333333333333;2.041241452319315;0.2857142857142857;2.1666666666666665;2.345207879911715;0.05714285714285716
http://soa4all.isoco.net/luf/users/movies363;54;SOFTMARGIN_BATCH;1.0;-1;2;2.1474836431666667E9;2.1474836431666665E9;-7.9057474245743642E17;2.8333333333333335;2.857738033247041;-0.3999999999999999;2.8333333333333335;2.857738033247041;-0.3999999999999999
http://soa4all.isoco.net/luf/users/movies363;54;SOFTMARGIN_BATCH;1.0;-1;3;2.1474836441666667E9;2.1474836441666665E9;-7.9057474319371661E17;1.8333333333333333;2.345207879911715;0.05714285714285716;1.8333333333333333;2.345207879911715;0.05714285714285716
http://soa4all.isoco.net/luf/users/movies363;54;SOFTMARGIN_BATCH;1.0;-1;4;2.1474836434E9;2.1474836433999999E9;-1.15292149966763456E18;1.4;1.9493588689617927;0.050000000000000044;2.6;2.932575659723036;-1.15
http://soa4all.isoco.net/luf/users/movies363;54;SOFTMARGIN_BATCH;1.0;-1;5;2.1474836438E9;2.1474836438E9;-1.15292150009713126E18;2.2;2.8635642126552705;-1.0499999999999998;2.2;2.6457513110645907;-0.75
http://soa4all.isoco.net/luf/users/movies363;54;SOFTMARGIN_BATCH;1.0;-1;6;2.147483644E9;2.147483644E9;-1.15292150031187968E18;2.0;2.3664319132398464;-0.3999999999999999;2.0;2.3664319132398464;-0.3999999999999999
http://soa4all.isoco.net/luf/users/movies363;54;SOFTMARGIN_BATCH;1.0;-1;7;2.147483645E9;2.147483645E9;-1.1529215013856215E18;1.8;2.1447610589527217;-0.1499999999999999;1.4;1.7320508075688772;0.25
http://soa4all.isoco.net/luf/users/movies363;54;SOFTMARGIN_BATCH;1.0;-1;8;2.147483644E9;2.147483644E9;-1.15292150031187968E18;2.6;3.0;-1.25;2.0;2.449489742783178;-0.5
http://soa4all.isoco.net/luf/users/movies363;54;SOFTMARGIN_BATCH;1.0;-1;9;2.1474836446E9;2.1474836446E9;-1.1529215009561248E18;1.4;1.7320508075688772;0.25;1.2;1.6733200530681511;0.30000000000000004
