utente;probability;nfeatures;fold;Linear MAE;Gaussian MAE;Polynomial MAE;Linear RMSE;Gaussian RMSE;Polynomial RMSE;Linear Spearman;Gaussian Spearman;Polynomial Spearman
http://soa4all.isoco.net/luf/users/movies416;0.0;0;9;1.25;1.25;1.25;1.5811388300841898;1.5811388300841898;1.5811388300841898;0.7619047619047619;0.7619047619047619;0.7619047619047619
http://soa4all.isoco.net/luf/users/movies429;0.0;0;0;0.8888888888888888;0.8888888888888888;0.8888888888888888;1.0540925533894598;1.0540925533894598;1.0540925533894598;0.9166666666666666;0.9166666666666666;0.9166666666666666
http://soa4all.isoco.net/luf/users/movies429;0.0;0;1;0.6666666666666666;0.6666666666666666;0.6666666666666666;1.0540925533894598;1.0540925533894598;1.0540925533894598;0.9166666666666666;0.9166666666666666;0.9166666666666666
http://soa4all.isoco.net/luf/users/movies429;0.0;0;2;0.8888888888888888;0.8888888888888888;0.8888888888888888;1.0540925533894598;1.0540925533894598;1.0540925533894598;0.9166666666666666;0.9166666666666666;0.9166666666666666
http://soa4all.isoco.net/luf/users/movies429;0.0;0;3;0.8888888888888888;0.8888888888888888;0.8888888888888888;1.1547005383792515;1.1547005383792515;1.1547005383792515;0.9;0.9;0.9
http://soa4all.isoco.net/luf/users/movies429;0.0;0;4;0.7777777777777778;0.7777777777777778;0.7777777777777778;1.0;1.0;1.0;0.925;0.925;0.925
http://soa4all.isoco.net/luf/users/movies429;0.0;0;5;0.875;0.875;0.875;1.2747548783981961;1.2747548783981961;1.2747548783981961;0.8452380952380952;0.8452380952380952;0.8452380952380952
http://soa4all.isoco.net/luf/users/movies429;0.0;0;6;0.75;0.75;0.75;1.0;1.0;1.0;0.9047619047619048;0.9047619047619048;0.9047619047619048
http://soa4all.isoco.net/luf/users/movies429;0.0;0;7;0.5;0.5;0.5;0.7071067811865476;0.7071067811865476;0.7071067811865476;0.9523809523809523;0.9523809523809523;0.9523809523809523
http://soa4all.isoco.net/luf/users/movies429;0.0;0;8;0.5;0.5;0.5;0.8660254037844386;0.8660254037844386;0.8660254037844386;0.9285714285714286;0.9285714285714286;0.9285714285714286
http://soa4all.isoco.net/luf/users/movies429;0.0;0;9;0.125;0.125;0.125;0.3535533905932738;0.3535533905932738;0.3535533905932738;0.9880952380952381;0.9880952380952381;0.9880952380952381
http://soa4all.isoco.net/luf/users/movies92;0.0;0;0;1.3333333333333333;1.3333333333333333;1.3333333333333333;1.5634719199411433;1.5634719199411433;1.5634719199411433;0.8166666666666667;0.8166666666666667;0.8166666666666667
http://soa4all.isoco.net/luf/users/movies92;0.0;0;1;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.4907119849998598;1.4907119849998598;1.4907119849998598;0.8333333333333334;0.8333333333333334;0.8333333333333334
http://soa4all.isoco.net/luf/users/movies92;0.0;0;2;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.247219128924647;1.247219128924647;1.247219128924647;0.8833333333333333;0.8833333333333333;0.8833333333333333
http://soa4all.isoco.net/luf/users/movies92;0.0;0;3;1.5;1.5;1.5;1.7320508075688772;1.7320508075688772;1.7320508075688772;0.7142857142857143;0.7142857142857143;0.7142857142857143
http://soa4all.isoco.net/luf/users/movies92;0.0;0;4;1.625;1.625;1.625;1.7677669529663689;1.7677669529663689;1.7677669529663689;0.7023809523809523;0.7023809523809523;0.7023809523809523
http://soa4all.isoco.net/luf/users/movies92;0.0;0;5;1.25;1.25;1.25;1.5;1.5;1.5;0.7857142857142857;0.7857142857142857;0.7857142857142857
http://soa4all.isoco.net/luf/users/movies92;0.0;0;6;1.0;1.0;1.0;1.118033988749895;1.118033988749895;1.118033988749895;0.8809523809523809;0.8809523809523809;0.8809523809523809
http://soa4all.isoco.net/luf/users/movies92;0.0;0;7;1.625;1.625;1.625;1.8371173070873836;1.8371173070873836;1.8371173070873836;0.6785714285714286;0.6785714285714286;0.6785714285714286
http://soa4all.isoco.net/luf/users/movies92;0.0;0;8;1.375;1.375;1.375;1.4577379737113252;1.4577379737113252;1.4577379737113252;0.7976190476190477;0.7976190476190477;0.7976190476190477
http://soa4all.isoco.net/luf/users/movies92;0.0;0;9;0.875;0.875;0.875;0.9354143466934853;0.9354143466934853;0.9354143466934853;0.9166666666666666;0.9166666666666666;0.9166666666666666
http://soa4all.isoco.net/luf/users/movies537;0.0;0;0;1.2222222222222223;1.2222222222222223;1.2222222222222223;1.3743685418725535;1.3743685418725535;1.3743685418725535;0.8583333333333334;0.8583333333333334;0.8583333333333334
